	CC_ID	price_close	price_high	price_low	price_open	time_period_end	time_period_start	trades_count	volume_traded	name
0	1	536.95	542.87	525.49	532.37	2016-06-02T00:00:00.0000000Z	2016-06-01T00:00:00.0000000Z	4433	5456.942657	BTC
1	2	538.0	540.0	529.13	536.95	2016-06-03T00:00:00.0000000Z	2016-06-02T00:00:00.0000000Z	3533	3939.35132757	BTC
2	3	569.94	578.37	535.74	538.0	2016-06-04T00:00:00.0000000Z	2016-06-03T00:00:00.0000000Z	6192	8801.7746347	BTC
3	4	573.8	588.71	558.54	569.93	2016-06-05T00:00:00.0000000Z	2016-06-04T00:00:00.0000000Z	4131	6216.6271931	BTC
4	5	573.91	582.0	566.0	573.5	2016-06-06T00:00:00.0000000Z	2016-06-05T00:00:00.0000000Z	3347	5415.93469447	BTC
5	6	584.5	586.02	573.8	573.8	2016-06-07T00:00:00.0000000Z	2016-06-06T00:00:00.0000000Z	3214	4465.51612085	BTC
6	7	577.54	594.44	563.0	584.12	2016-06-08T00:00:00.0000000Z	2016-06-07T00:00:00.0000000Z	4843	6705.91830357	BTC
7	8	583.03	584.25	571.86	577.48	2016-06-09T00:00:00.0000000Z	2016-06-08T00:00:00.0000000Z	2925	3259.15110512	BTC
8	9	575.01	583.1	572.97	583.01	2016-06-10T00:00:00.0000000Z	2016-06-09T00:00:00.0000000Z	2808	3770.7182618	BTC
9	10	578.01	580.0	572.0	576.06	2016-06-11T00:00:00.0000000Z	2016-06-10T00:00:00.0000000Z	2110	3458.56492292	BTC
10	11	610.0	611.0	575.93	576.53	2016-06-12T00:00:00.0000000Z	2016-06-11T00:00:00.0000000Z	3750	3994.69960397	BTC
11	12	672.13	683.02	603.21	610.0	2016-06-13T00:00:00.0000000Z	2016-06-12T00:00:00.0000000Z	9681	14137.59479747	BTC
12	13	704.49	725.0	655.02	668.73	2016-06-14T00:00:00.0000000Z	2016-06-13T00:00:00.0000000Z	13382	17280.60397099	BTC
13	14	685.25	704.5	655.0	703.81	2016-06-15T00:00:00.0000000Z	2016-06-14T00:00:00.0000000Z	7601	10633.44050212	BTC
14	15	695.0	695.77	672.12	685.25	2016-06-16T00:00:00.0000000Z	2016-06-15T00:00:00.0000000Z	5385	5783.92382786	BTC
15	16	766.62	773.07	689.8	695.0	2016-06-17T00:00:00.0000000Z	2016-06-16T00:00:00.0000000Z	10492	17946.82684698	BTC
16	17	745.22	778.7	706.37	767.37	2016-06-18T00:00:00.0000000Z	2016-06-17T00:00:00.0000000Z	9405	14687.27083679	BTC
17	18	754.83	778.85	723.02	745.0	2016-06-19T00:00:00.0000000Z	2016-06-18T00:00:00.0000000Z	5637	5902.36262144	BTC
18	19	761.44	764.93	740.11	753.47	2016-06-20T00:00:00.0000000Z	2016-06-19T00:00:00.0000000Z	3473	2617.27920864	BTC
19	20	730.85	763.99	723.4	759.12	2016-06-21T00:00:00.0000000Z	2016-06-20T00:00:00.0000000Z	9121	7962.77933806	BTC
20	21	667.54	728.18	625.0	725.0	2016-06-22T00:00:00.0000000Z	2016-06-21T00:00:00.0000000Z	20355	33056.28964434	BTC
21	22	601.3	677.63	588.03	665.36	2016-06-23T00:00:00.0000000Z	2016-06-22T00:00:00.0000000Z	12231	16456.40877924	BTC
22	23	624.91	632.67	1.5	600.51	2016-06-24T00:00:00.0000000Z	2016-06-23T00:00:00.0000000Z	13443	23941.93995526	BTC
23	24	661.71	683.88	620.82	622.59	2016-06-25T00:00:00.0000000Z	2016-06-24T00:00:00.0000000Z	10398	16036.29415431	BTC
24	25	659.86	684.45	639.4	660.76	2016-06-26T00:00:00.0000000Z	2016-06-25T00:00:00.0000000Z	4614	6576.43804357	BTC
25	26	630.16	662.9	608.64	658.8	2016-06-27T00:00:00.0000000Z	2016-06-26T00:00:00.0000000Z	4579	5838.1489745	BTC
26	27	657.5	658.0	618.03	630.16	2016-06-28T00:00:00.0000000Z	2016-06-27T00:00:00.0000000Z	6897	8668.59311399	BTC
27	28	646.08	665.51	635.5	657.49	2016-06-29T00:00:00.0000000Z	2016-06-28T00:00:00.0000000Z	5106	5478.35678011	BTC
28	29	634.11	645.0	621.09	644.33	2016-06-30T00:00:00.0000000Z	2016-06-29T00:00:00.0000000Z	6855	9132.47818623	BTC
29	30	667.95	671.22	628.06	635.91	2016-07-01T00:00:00.0000000Z	2016-06-30T00:00:00.0000000Z	5324	7479.78991538	BTC
30	31	674.86	684.1	659.71	666.33	2016-07-02T00:00:00.0000000Z	2016-07-01T00:00:00.0000000Z	5324	6432.9196212	BTC
31	32	702.48	704.93	672.74	674.55	2016-07-03T00:00:00.0000000Z	2016-07-02T00:00:00.0000000Z	3906	5506.04313621	BTC
32	33	658.27	704.99	646.29	702.48	2016-07-04T00:00:00.0000000Z	2016-07-03T00:00:00.0000000Z	5517	7320.31995024	BTC
33	34	680.35	682.35	640.1	659.77	2016-07-05T00:00:00.0000000Z	2016-07-04T00:00:00.0000000Z	4629	4290.13225288	BTC
34	35	668.94	682.36	661.57	678.74	2016-07-06T00:00:00.0000000Z	2016-07-05T00:00:00.0000000Z	2744	3112.7271219	BTC
35	36	674.7	679.0	662.13	669.09	2016-07-07T00:00:00.0000000Z	2016-07-06T00:00:00.0000000Z	2889	3590.61112814	BTC
36	37	638.19	678.43	605.5	674.7	2016-07-08T00:00:00.0000000Z	2016-07-07T00:00:00.0000000Z	9262	12686.97748136	BTC
37	38	663.0	665.99	635.0	638.89	2016-07-09T00:00:00.0000000Z	2016-07-08T00:00:00.0000000Z	5237	6579.38521243	BTC
38	39	647.78	663.99	626.0	663.0	2016-07-10T00:00:00.0000000Z	2016-07-09T00:00:00.0000000Z	5155	6180.15042485	BTC
39	40	648.76	650.88	636.8	647.78	2016-07-11T00:00:00.0000000Z	2016-07-10T00:00:00.0000000Z	2148	2313.34939114	BTC
40	41	649.32	659.6	639.31	648.77	2016-07-12T00:00:00.0000000Z	2016-07-11T00:00:00.0000000Z	2554	2978.13685533	BTC
41	42	663.52	678.0	646.05	649.32	2016-07-13T00:00:00.0000000Z	2016-07-12T00:00:00.0000000Z	5563	4288.07627477	BTC
42	43	655.06	669.97	651.03	663.52	2016-07-14T00:00:00.0000000Z	2016-07-13T00:00:00.0000000Z	5319	6573.20203068	BTC
